,기사작성일,기사제목,기사주소
905,2020.11.12.,인천지역 공무원 등 '몸캠 피싱' 피해 급증,http://www.kyeonggi.com/news/articleView.html?idxno=2328313
906,2020.11.12.,보이스피싱 피해자들 돈 조직에 전달한 20대 여성 '실형',https://www.news1.kr/articles/?4116768
907,2020.11.12.,"북단양농협 직원, 거액의 보이스피싱 피해 막아",http://www.ccdailynews.com/news/articleView.html?idxno=2016279
908,2020.11.11.,"몸캠피싱 대응센터 케어라풋, 피해자 위한 전문적인 보안솔루션 제공",http://www.mhns.co.kr/news/articleView.html?idxno=421029
909,2020.11.23.,보이스피싱 피해 막은 은행 직원에게 감사장,http://news.lghellovision.net/news/newsView.do?soCode=SC50000000&idx=295366
910,2020.11.12.,"북단양농협 직원, 거액의 보이스피싱 피해 막아",http://www.ccdailynews.com/news/articleView.html?idxno=2016279
911,2020.11.11.,"몸캠피싱 대응센터 케어라풋, 피해자 위한 전문적인 보안솔루션 제공",http://www.mhns.co.kr/news/articleView.html?idxno=421029
912,2020.11.23.,보이스피싱 피해 막은 은행 직원에게 감사장,http://news.lghellovision.net/news/newsView.do?soCode=SC50000000&idx=295366
913,2020.11.12.,몸캠피싱 보안업체 ‘퍼블소프트’ 자체 기술 ‘PB EndPoint’ 이용해 피해 돕는다,https://www.news1.kr/articles/?4116757
914,2020.11.18.,"서현진, 해킹·피싱 피해 고백 ""적잖은 금전적 피해...경찰서 출석 예정""",http://www.hg-times.com/news/articleView.html?idxno=222668
915,2020.11.10.,"보이스피싱 피해 1만원 이하면, 잊어야 하나? 따로 신청해야 구제 가능",https://news.joins.com/article/olink/23511093
916,2020.11.17.,올 1~10월 경기남부 보이스피싱 피해건수 전년比 18% 감소,https://www.news1.kr/articles/?4121090
917,2020.11.10.,1만원 보이스피싱 피해 환급된다…구제절차도 간편화,https://view.asiae.co.kr/article/2020111010260221144
918,2020.11.10.,대대적인 보이스피싱 척결 수사에 피해 줄고 검거율은 증가,http://yna.kr/AKR20201110057500051?did=1195m
919,2020.11.16.,보이스피싱 피해 막은 서해중앙신협 직원,http://www.idjnews.kr/news/articleView.html?idxno=126555
920,2020.11.10.,"보이스피싱 피해자, 구제신청 때 전화번호도 함께 신고할 수 있게 돼",http://www.businesspost.co.kr/BP?command=article_view&num=203793
921,2020.11.10.,1만원 보이스피싱 피해 환급된다…구제절차도 간편화,https://view.asiae.co.kr/article/2020111010260221144
922,2020.11.10.,대대적인 보이스피싱 척결 수사에 피해 줄고 검거율은 증가,http://yna.kr/AKR20201110057500051?did=1195m
923,2020.11.16.,보이스피싱 피해 막은 서해중앙신협 직원,http://www.idjnews.kr/news/articleView.html?idxno=126555
924,2020.11.10.,스피커폰 넘어 들린 보이스피싱…행인·은행원 신고로 피해 막아,http://yna.kr/AKR20201110123900051?did=1195m
925,2020.11.13.,[Btv 전주뉴스]보이스피싱 조직에 피해자 돈 송금한 30대 집행유예,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=64&p_no=112098
926,2020.11.09.,"피해자 옭아매는 몸캠피싱, ‘디시즌팩토리’ 피씽·동영상유포협박 사전 예방 가능",http://www.kjdaily.com/read.php3?aid=1604894400529300203
927,2020.11.10.,"신한은행, 앱으로 피해방지 안내-보이스피싱 사전 예방 서비스 제공",http://www.techholic.co.kr/news/articleView.html?idxno=194647
928,2020.11.11.,"퍼블소프트, 몸캠피싱·피씽 피해 해결 위한 'PB Solution' 구축",http://www.epnc.co.kr/news/articleView.html?idxno=108272
929,2020.11.11.,"온양농협, 보이스피싱 피해 예방 앞장",http://www.jbnews.com/news/articleView.html?idxno=1313986
930,2020.11.16.,보이스피싱 피해 막은 서해중앙신협 직원,http://www.idjnews.kr/news/articleView.html?idxno=126555
931,2020.11.10.,보이스피싱 신고 간소화‥1만원 미만도 피해금 환급,http://www.edaily.co.kr/news/newspath.asp?newsid=02043446625964408
932,2020.11.10.,보이스피싱 피해 구제 신청 때 피해 유발 번호도 신고,https://www.ytn.co.kr/_ln/0102_202011101355269147
933,2020.11.10.,스피커폰 넘어 들린 보이스피싱…행인·은행원 신고로 피해 막아,http://yna.kr/AKR20201110123900051?did=1195m
934,2020.11.13.,[Btv 전주뉴스]보이스피싱 조직에 피해자 돈 송금한 30대 집행유예,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=64&p_no=112098
935,2020.11.09.,"피해자 옭아매는 몸캠피싱, ‘디시즌팩토리’ 피씽·동영상유포협박 사전 예방 가능",http://www.kjdaily.com/read.php3?aid=1604894400529300203
936,2020.11.10.,"신한은행, 앱으로 피해방지 안내-보이스피싱 사전 예방 서비스 제공",http://www.techholic.co.kr/news/articleView.html?idxno=194647
937,2020.11.10.,"보이스피싱 '끝장' 수사에 ""피해 줄고 검거율 늘었다""",https://www.hankyung.com/society/article/2020111037817
938,2020.11.11.,"퍼블소프트, 몸캠피싱·피씽 피해 해결 위한 'PB Solution' 구축",http://www.epnc.co.kr/news/articleView.html?idxno=108272
939,2020.11.11.,"온양농협, 보이스피싱 피해 예방 앞장",http://www.jbnews.com/news/articleView.html?idxno=1313986
940,2020.11.09.,"보안업체 케어라풋, 몸캠피싱 동영상 유포 원천 차단으로 피해구제",http://www.cctvnews.co.kr/news/articleView.html?idxno=213172
941,2020.11.10.,"신한은행, 앱으로 피해방지 안내-보이스피싱 사전 예방 서비스 제공",http://www.techholic.co.kr/news/articleView.html?idxno=194647
942,2020.11.10.,"보이스피싱 '끝장' 수사에 ""피해 줄고 검거율 늘었다""",https://www.hankyung.com/society/article/2020111037817
943,2020.11.11.,"퍼블소프트, 몸캠피싱·피씽 피해 해결 위한 'PB Solution' 구축",http://www.epnc.co.kr/news/articleView.html?idxno=108272
944,2020.11.11.,"온양농협, 보이스피싱 피해 예방 앞장",http://www.jbnews.com/news/articleView.html?idxno=1313986
945,2020.11.24.,"울산북부경찰서, 보이스피싱 피해예방 시민 표창",http://www.ujeil.com/news/articleView.html?idxno=265780
946,2020.11.07.,"국내 1세대 보안기업 시큐어앱, 몸캠피싱 피해 및 피씽 사기 루트 차단에 나서",https://www.itbiznews.com/news/articleView.html?idxno=23236
947,2020.11.17.,"카카오톡, 피싱 피해 막는 ‘톡 사이렌’ 도입",http://sports.khan.co.kr/news/sk_index.html?art_id=202011171047003&sec_id=561101&pt=nv
948,2020.11.22.,"농협銀 대흥지점 강혜정 과장, '보이스피싱 피해예방' 감사패 수상",http://www.ggilbo.com/news/articleView.html?idxno=810855
949,2020.11.10.,"보이스피싱 피해, 1만원도 환급 신청 가능해진다",http://www.newsworks.co.kr/news/articleView.html?idxno=502015
950,2020.11.10.,"보이스피싱 피해, 1만원도 환급 신청 가능해진다",http://www.newsworks.co.kr/news/articleView.html?idxno=502015
951,2020.11.14.,"'제로데이', 동영상유포협박 및 몸캠피싱 피해 시 행동요령 제시",http://www.e2news.com/news/articleView.html?idxno=227807
952,2020.11.20.,"농협 대전대흥지점, 보이스피싱 피해예방 감사패 받아",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=572218
953,2020.11.10.,1만원 이하 소액도 보이스피싱 피해 구제 가능,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202011101014494980238
954,2020.11.06.,"계속 늘어나는 피해자들…여전히 심각한 몸캠피싱, 불법촬영 동영상 ‘디지털 성범죄’",http://www.sportsseoul.com/news/read/978058?ref=naver
955,2020.11.06.,[사설] 날로 진화하는 보이스피싱 피해 막을 근절책 없나,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1700&key=20201106.22019001982
956,2020.11.05.,'제로데이' 몸캠피싱 신속 대응으로 피씽 피해 확산 차단,http://www.kgdm.co.kr/news/articleView.html?idxno=723667
957,2020.11.30.,"대구경찰청 ""보이스피싱 전화번호 이렇게 차단하세요""",http://www.lawissue.co.kr/view.php?ud=2020113010220588159a8c8bf58f_12
958,2020.11.12.,"""금감원 직원이.."" 택시기사가 3500만원 피싱 피해 막았다",http://www.fnnews.com/news/202011120835230457
959,2020.11.04.,"몸캠피싱 대응센터 케어라풋, 동영상 제거 솔루션으로 피해자 구제",http://www.thepublic.kr/news/newsview.php?ncode=1065593064374500
960,2020.11.12.,"""금감원 직원이.."" 택시기사가 3500만원 피싱 피해 막았다",http://www.fnnews.com/news/202011120835230457
961,2020.11.30.,"[기고] “보이스피싱 예방, 은행이 심각성 느껴야”",https://www.news1.kr/articles/?4135045
962,2020.11.04.,"몸캠피싱 대응센터 케어라풋, 동영상 제거 솔루션으로 피해자 구제",http://www.thepublic.kr/news/newsview.php?ncode=1065593064374500
963,2020.11.30.,"국내 1세대 보안기업 ‘시큐어앱’, 몸캠피싱 및 피씽 사기 범죄 루트 추적 나서",http://www.kjdaily.com/read.php3?aid=1606719164531702203
964,2020.11.04.,"가족ㆍ지인 사칭 메신저피싱 피해, 연말 급증 추세…핸드폰 포렌식으로 피해사실 입증하는 디지털 포렌식 전문기업 KDFT",https://view.asiae.co.kr/article/2020110416175995418
965,2020.11.04.,[출근길] 서울 구로구 등 47개소 2차 도시재생뉴딜 선정·지인 사칭 메신저피싱 피해 14% 늘어 外 (경제),https://www.etoday.co.kr/news/view/1958249
966,2020.11.03.,가족·친구 사칭 메신저피싱 급증…카카오톡 이용한 피해 가장 많아,http://www.fntimes.com/html/view.php?ud=202011031310281696ee0209bd21_18
967,2020.11.03.,"""엄마 돈 좀 보내줘""...메신저피싱 피해 급증",https://www.ytn.co.kr/_ln/0102_202011031704057227
968,2020.11.03.,"케어라풋, 몸캠피싱 영상 유포 차단 서비스로 피씽 피해자 도와",http://www.sisamagazine.co.kr/news/articleView.html?idxno=334884
969,2020.11.03.,"'카톡 피싱' 급증, 3분기까지 피해금액 297억 원에 달해",https://www.etoday.co.kr/news/view/1958123
970,2020.11.03.,가족·친구 사칭 메신저피싱 급증…카카오톡 이용한 피해 가장 많아,http://www.fntimes.com/html/view.php?ud=202011031310281696ee0209bd21_18
971,2020.11.03.,"""엄마 돈 좀 보내줘""...메신저피싱 피해 급증",https://www.ytn.co.kr/_ln/0102_202011031704057227
972,2020.11.03.,"케어라풋, 몸캠피싱 영상 유포 차단 서비스로 피씽 피해자 도와",http://www.sisamagazine.co.kr/news/articleView.html?idxno=334884
973,2020.11.03.,"'카톡 피싱' 급증, 3분기까지 피해금액 297억 원에 달해",https://www.etoday.co.kr/news/view/1958123
974,2020.11.17.,"카카오톡 ""메신저 피싱 피해 막는 '톡 사이렌' 기능 도입""",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4343080
975,2020.11.17.,카카오 '톡 사이렌'으로 메신저 피싱 피해 예방,http://www.fnnews.com/news/202011171726305116
976,2020.11.03.,"모아저축銀 직원, 고객 보이스피싱 피해 막아",http://www.etnews.com/20201103000253
977,2020.11.04.,"BNK경남은행, 보이스피싱 피해 예방 위한 자문단 간담회 개최",http://www.fntimes.com/html/view.php?ud=202011041426553237ee0209bd21_18
978,2020.11.13.,보이스피싱 피해자 돈 받아 전달 20대 징역형,http://news.kbs.co.kr/news/view.do?ncd=5047422&ref=A
979,2020.11.10.,"보이스피싱 피해구제, 1만원 이하도 가능해져",http://sports.hankooki.com/lpage/economy/202011/sp20201110152149148190.htm?s_ref=nv
980,2020.11.03.,"""나 돈 좀 보내줘 엄마""…카톡피싱 피해 297억원, 전년비 25%↑",https://www.hankyung.com/economy/article/2020110388656
981,2020.11.03.,"""엄마 돈 좀 보내줘""…카카오톡 피싱 피해 올해만 5815건",http://www.newspim.com/news/view/20201103000586
982,2020.11.17.,"카카오톡 ""메신저 피싱 피해 막는 '톡 사이렌' 기능 도입""",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4343080
983,2020.11.17.,카카오 '톡 사이렌'으로 메신저 피싱 피해 예방,http://www.fnnews.com/news/202011171726305116
984,2020.11.03.,"모아저축銀 직원, 고객 보이스피싱 피해 막아",http://www.etnews.com/20201103000253
985,2020.11.04.,"BNK경남은행, 보이스피싱 피해 예방 위한 자문단 간담회 개최",http://www.fntimes.com/html/view.php?ud=202011041426553237ee0209bd21_18
986,2020.11.13.,보이스피싱 피해자 돈 받아 전달 20대 징역형,http://news.kbs.co.kr/news/view.do?ncd=5047422&ref=A
987,2020.11.10.,"보이스피싱 피해구제, 1만원 이하도 가능해져",http://sports.hankooki.com/lpage/economy/202011/sp20201110152149148190.htm?s_ref=nv
988,2020.11.29.,전국 돌며 보이스피싱 피해금 1억8천만원 수거한 40대 '실형',https://www.news1.kr/articles/?4133296
989,2020.11.01.,"케어라풋, 몸캠피싱 동영상 제거 기술로 피해자 유포협박 문제 해결",http://www.epnc.co.kr/news/articleView.html?idxno=107491
990,2020.11.10.,'보이스피싱 피해환급법 개정안' 20일부터 시행,http://www.smartfn.co.kr/view.php?ud=202011101057131500df6c52f68c_46
991,2020.11.29.,전국 돌며 보이스피싱 피해금 1억8천만원 수거한 40대 '실형',https://www.news1.kr/articles/?4133296
992,2020.11.01.,"케어라풋, 몸캠피싱 동영상 제거 기술로 피해자 유포협박 문제 해결",http://www.epnc.co.kr/news/articleView.html?idxno=107491
993,2020.11.29.,"‘제로데이’, 몸캠피싱·동영상유포협박 성행…’피씽 주의사항 공개’",http://www.kjdaily.com/read.php3?aid=1606608000531501203
994,2020.11.30.,"""당신 통장이 범죄에 사용"" 보이스피싱… 경찰, 현금 수거책 구속",http://www.jjan.kr/news/articleView.html?idxno=2097098
995,2020.11.29.,"고령자 이용 많은 저축은행, 보이스피싱 예방 대책 마련 분주",http://www.consumernews.co.kr/news/articleView.html?idxno=616377
996,2020.11.16.,"대한노인회 경기 화성시지회, 관내 30개소 경로당에 보이스피싱 피해 예방 교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=72697
997,2020.11.02.,"서부署, 보이스피싱 피해예방 은행원에 표창장 수여",http://www.dkilbo.com/news/articleView.html?idxno=315632
998,2020.11.08.,"서천경찰서, 보이스피싱 피해 예방한 은행원 감사장 수여",http://www.ggilbo.com/news/articleView.html?idxno=807565
999,2020.11.18.,보이스피싱 피해 지킴이 '경인우정청' 전화사기 3억 ·13건 막았다,http://www.kyeongin.com/main/view.php?key=20201118010003752
1000,2020.11.29.,"‘제로데이’, 몸캠피싱·동영상유포협박 성행…’피씽 주의사항 공개’",http://www.kjdaily.com/read.php3?aid=1606608000531501203
1001,2020.11.01.,몸캠피싱 피해자들을 위한 긴급대응솔루션 제공하는 케어라풋,http://www.thepublic.kr/news/newsview.php?ncode=1065604780706953
1002,2020.11.30.,"""당신 통장이 범죄에 사용"" 보이스피싱… 경찰, 현금 수거책 구속",http://www.jjan.kr/news/articleView.html?idxno=2097098
1003,2020.11.29.,"고령자 이용 많은 저축은행, 보이스피싱 예방 대책 마련 분주",http://www.consumernews.co.kr/news/articleView.html?idxno=616377
1004,2020.11.16.,"대한노인회 경기 화성시지회, 관내 30개소 경로당에 보이스피싱 피해 예방 교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=72697
1005,2020.11.02.,"서부署, 보이스피싱 피해예방 은행원에 표창장 수여",http://www.dkilbo.com/news/articleView.html?idxno=315632
1006,2020.11.08.,"서천경찰서, 보이스피싱 피해 예방한 은행원 감사장 수여",http://www.ggilbo.com/news/articleView.html?idxno=807565
1007,2020.11.29.,보이스피싱으로 1억 8천만 원 갈취한 40대 징역형,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4355837
1008,2020.11.18.,보이스피싱 피해 지킴이 '경인우정청' 전화사기 3억 ·13건 막았다,http://www.kyeongin.com/main/view.php?key=20201118010003752
1009,2020.11.04.,"“엄마, 돈이 급한데”… ‘메신저 피싱’ 피해액 297억원",https://www.donga.com/news/article/all/20201104/103784438/1
1010,2020.11.29.,보이스피싱으로 1억 8천만 원 갈취한 40대 징역형,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4355837
1011,2020.11.18.,보이스피싱 피해 지킴이 '경인우정청' 전화사기 3억 ·13건 막았다,http://www.kyeongin.com/main/view.php?key=20201118010003752
1012,2020.11.04.,"“엄마, 돈이 급한데”… ‘메신저 피싱’ 피해액 297억원",https://www.donga.com/news/article/all/20201104/103784438/1
1013,2020.11.29.,"보은경찰서, 보이스피싱 예방 감사·표창장 전달",http://www.ggilbo.com/news/articleView.html?idxno=812243
1014,2020.11.06.,"서천경찰서, 보이스피싱 피해 막은 은행원 감사장 수여",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=569652
1015,2020.10.29.,"울산 울주경찰서, 보이스피싱 피해 예방한 농협 직원에 감사장 전달",http://www.iusm.co.kr/news/articleView.html?idxno=891067
1016,2020.11.03.,메신저피싱 올해 9월까지 피해액 297억 원...겨울철에 증가,https://www.ytn.co.kr/_ln/0102_202011031200411899
1017,2020.10.29.,"몸캠피싱 IT보안회사 '퍼블소프트', ""피씽 피해 당했다면 적극적 대처 중요""",http://www.itbiznews.com/news/articleView.html?idxno=22536
1018,2020.10.29.,"""농촌 노인대상 보이스피싱을 막아라!""-보은 올해 10월까지 2억1000만원 피해 발생",http://www.nbntv.co.kr/news/articleView.html?idxno=908561
1019,2020.10.29.,"NH농협은행 주월동지점, 보이스피싱 피해 사전 예방",http://www.newsworker.co.kr/news/articleView.html?idxno=89942
1020,2020.10.29.,"몸캠피싱 IT보안회사 ‘퍼블소프트’, “피씽 피해 당했다면 적극 대처해야”",http://www.kjdaily.com/read.php3?aid=1603940400528122203
1021,2020.10.29.,"NH농협은행 주월동지점, 보이스피싱 피해 사전 예방",http://www.newsworker.co.kr/news/articleView.html?idxno=89942
1022,2020.10.29.,몸캠피싱 피해 계속 증가해… ‘라바웨이브’ LAVAR CS시스템으로 피해자 돕는다,https://view.asiae.co.kr/article/2020102911321843616
1023,2020.11.30.,검찰 사칭 보이스피싱 40대 남성 수거책 구속,http://www.newspim.com/news/view/20201130000944
1024,2020.10.28.,"광주경찰서, 보이스피싱 피해 예방한 IBK 기업은행 직원 감사장 수여",http://www.kmaeil.com/news/articleView.html?idxno=247795
1025,2020.10.28.,"""보이스피싱 아니냐"" 피해자 오해에 발로 뛴 경찰",https://www.nocutnews.co.kr/news/5437137
1026,2020.11.28.,"편의점서 경고음 나온다 ""피싱 확인하세요""",http://www.yonhapnewstv.co.kr/MYH20201128000500038/?did=1825m
1027,2020.11.27.,"천안서북서, 보이스피싱 예방 은행원에 감사장 전달",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=573458
1028,2020.11.03.,"모아저축은행 직원, 보이스피싱 피해 막은 공로로 경찰 표창",https://www.dailian.co.kr/news/view/933225/?sc=Naver
1029,2020.10.28.,‘문화 상품권을 왜?’ 수사과장의 홍보로 보이스피싱 피해 막아,http://moneys.mt.co.kr/news/mwView.php?no=2020102814518022219
1030,2020.10.28.,‘문화 상품권을 왜?’ 수사과장의 홍보로 보이스피싱 피해 막아,http://moneys.mt.co.kr/news/mwView.php?no=2020102814518022219
1031,2020.10.26.,"광주서 금융·수사기관 사칭 보이스피싱 잇따라…""피해 주의""(종합)",http://www.newsis.com/view/?id=NISX20201022_0001207582&cID=10809&pID=10800
1032,2020.11.28.,"보안 전문 업체 ‘시큐어앱’, 몸캠피싱 구제 위해 피씽 예방 캠페인 진행 나서",http://news.heraldcorp.com/view.php?ud=20201127000249
1033,2020.11.13.,"주주클럽 주다인이 ""대형 교통사고, 희귀 혈액암, 보이스피싱 피해 등으로 활동 못했다""고 직접 밝혔다",https://www.huffingtonpost.kr/entry/juju-club-judain_kr_5fadca55c5b6370e7e314d5d?utm_id=naver
1034,2020.11.12.,"""금감원 직원이 갖고 오라고…"" 3500만원 피싱 피해 막은 택시기사",http://news.mt.co.kr/mtview.php?no=2020111208570553169
1035,2020.11.26.,“아들이 다쳤대” 고액 인출 할머니 보이스피싱 막아낸 농협 직원,http://www.sisanews24.co.kr/5337
1036,2020.11.26.,제주경찰 빠른 대처로 수천만원대 보이스피싱 막아,http://www.gukjenews.com/news/articleView.html?idxno=2115964
1037,2020.10.25.,보이스피싱 피해액 커지는데… 경찰 후속 범죄 예방 미흡 지적,https://www.inews365.com/news/article.html?no=641341
1038,2020.11.26.,"경찰청, 편의점업계와 힘 모아 '메신저피싱' 예방한다",http://www.cctvnews.co.kr/news/articleView.html?idxno=214647
1039,2020.11.29.,"정읍署, 보이스피싱 예방 은행직원 감사장 수여",http://www.jeonmin.co.kr/news/articleView.html?idxno=321991
1040,2020.10.25.,보이스피싱 피해액 커지는데… 경찰 후속 범죄 예방 미흡 지적,https://www.inews365.com/news/article.html?no=641341
1041,2020.11.26.,"경찰청, 편의점업계와 힘 모아 '메신저피싱' 예방한다",http://www.cctvnews.co.kr/news/articleView.html?idxno=214647
1042,2020.11.26.,천안서북경찰서 보이스피싱 예방 은행원에 감사장 전달,http://www.ccdailynews.com/news/articleView.html?idxno=2019169
1043,2020.11.29.,"정읍署, 보이스피싱 예방 은행직원 감사장 수여",http://www.jeonmin.co.kr/news/articleView.html?idxno=321991
1044,2020.11.26.,"DGB대구은행 권다윤 행원, '보이스피싱 예방' 표창장 수상",http://www.onews.tv/news/articleView.html?idxno=39950
1045,2020.10.25.,"'보이스피싱' 4년간 11만건, 피해액 1조7000억원…대출사기형·50대 피해 많아",https://view.asiae.co.kr/article/2020102511524038302
1046,2020.10.25.,"몸캠피싱 IT보안회사 '퍼블소프트', ""피씽 피해 당했다면 적극적 대처가 핵심""",http://www.itbiznews.com/news/articleView.html?idxno=22378
1047,2020.11.26.,"부산시민3명, 보이스피싱에 속아 문화상품권과 구글기프트카드 구매 막아",http://www.lawissue.co.kr/view.php?ud=2020112617051177899a8c8bf58f_12
1048,2020.10.25.,[국감브리핑]대전·충남 올해 보이스피싱 1500건…피해액 280억원,https://www.news1.kr/articles/?4097692
1049,2020.12.28.,'전화 가로채기' 앱…금융사에 전화 걸면 사기꾼 연결,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11985690
1050,2020.10.25.,광주·전남 보이스피싱 피해액 129억,http://www.namdonews.com/news/articleView.html?idxno=587986
1051,2020.11.26.,"부산시민3명, 보이스피싱에 속아 문화상품권과 구글기프트카드 구매 막아",http://www.lawissue.co.kr/view.php?ud=2020112617051177899a8c8bf58f_12
1052,2020.10.25.,충청권 올해만 보이스피싱 피해 434억원,http://www.jbnews.com/news/articleView.html?idxno=1311526
1053,2020.10.25.,"케어라풋, 영상보안기술로 개인정보 악용 및 몸캠피싱 피해 막아",http://www.itbiznews.com/news/articleView.html?idxno=22372
1054,2020.10.25.,[국감브리핑]대전·충남 올해 보이스피싱 1500건…피해액 280억원,https://www.news1.kr/articles/?4097692
1055,2020.12.28.,'전화 가로채기' 앱…금융사에 전화 걸면 사기꾼 연결,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11985690
1056,2020.11.26.,광주서 하루 2건꼴로 보이스피싱··· 피해금 100억 돌파,http://www.honam.co.kr/detail/c3QycN/634751
1057,2020.10.26.,올해 전남 보이스피싱 피해액 40억 원,http://news.cjhello.com/news/newsView.do?soCode=SCN0000000&idx=292469
1058,2020.10.28.,"악질범죄 몸캠피싱, 영상 유포 막아 피씽 피해자 구제하는 케어라풋",http://www.cctvnews.co.kr/news/articleView.html?idxno=212313
1059,2020.10.24.,"[국감] 박완주 의원, 보이스피싱 피해 신고 접수 2017년 이후 117,075건",http://www.newstnt.com/news/articleView.html?idxno=65305
1060,2020.10.24.,"[국감] 박완주 의원, 보이스피싱 피해 신고 접수 2017년 이후 117,075건",http://www.newstnt.com/news/articleView.html?idxno=65305
1061,2020.10.26.,"몸캠피싱 대응센터 케어라풋, 영상유출 차단해 몸캠피씽 피해자 구제",http://www.kgdm.co.kr/news/articleView.html?idxno=721428
1062,2020.11.09.,"순천우체국 경비, 보이스피싱 피해 예방 화제",http://www.gukjenews.com/news/articleView.html?idxno=2105019
1063,2020.10.24.,"[국감2020] 보이스피싱, 50대가 가장 취약… 4년간 피해액 1조7,000억원",https://hankookilbo.com/News/Read/A2020102413290002651?did=NA
1064,2020.11.10.,20일부터 보이스피싱 피해구제 ‘1만원’도 가능,http://www.nspna.com/news/?mode=view&newsid=464448
1065,2020.10.25.,"충북 보이스피싱 피해 132억원…""범인 검거, 범죄예방 힘써야""",http://www.newsis.com/view/?id=NISX20201025_0001209560&cID=10806&pID=10800
1066,2020.10.24.,울산서 최근 3년간 보이스피싱 438건 발생…피해액 80억원,http://www.newsis.com/view/?id=NISX20201023_0001208465&cID=10814&pID=10800
1067,2020.10.25.,"천안동남署, 보이스피싱 피해 예방을 위한 온.오프라인 홍보 적극 나서",http://www.joongdo.co.kr/web/view.php?key=20201025010006318
1068,2020.11.27.,"몸캠피싱 협박 구제하는 '디시즌팩토리', 피씽 및 동영상유포협박에 대응책 제시",http://www.cctvnews.co.kr/news/articleView.html?idxno=214717
1069,2020.10.27.,충남 보이스피싱 피해액 작년보다 48% 증가,http://news.cjhello.com/news/newsView.do?soCode=SC91000000&idx=292722
1070,2020.10.27.,충남 보이스피싱 피해액 작년보다 48% 증가,http://news.cjhello.com/news/newsView.do?soCode=SC91000000&idx=292722
1071,2020.11.26.,보이스피싱인줄도 모르고… 자녀 부탁으로 상품권 사려다 상인에 딱 걸렸네,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20201126.99099009099
1072,2020.10.25.,충북서 1~8월 132억 보이스피싱 피해 … 56%가 40~50대,http://www.cctimes.kr/news/articleView.html?idxno=631965
1073,2020.11.26.,"천안서북경찰서, 보이스피싱 예방 은행원에 감사장 전달",http://www.nbnnews.co.kr/news/articleView.html?idxno=444762
1074,2020.11.25.,"KCB, 보이스피싱 방지 위한 금융회사 정보공유 체계 구축",http://www.fntimes.com/html/view.php?ud=2020112517030151088a55064dd1_18
1075,2020.10.23.,"날로 커지는 몸캠피싱 피해, 영상유출차단으로 피해자 돕는 케어라풋",http://www.kgdm.co.kr/news/articleView.html?idxno=721217
1076,2020.11.25.,"DGB대구은행 권다윤 행원, 보이스피싱 예방 표창 받아",http://www.breaknews.com/769531
1077,2020.10.23.,"[2020 국정감사] 박완주 ""2017년 이후 보이스피싱 신고건수·피해규모↑… 근절책 마련돼야""",http://www.iminju.net/news/articleView.html?idxno=58801
1078,2020.10.23.,"광주·전남 보이스피싱 피해액 129억…""예방·추적에 힘써야""",http://www.newsis.com/view/?id=NISX20201023_0001208761&cID=10809&pID=10800
1079,2020.10.23.,"천안동남署, 보이스피싱 피해 예방을 위한 다양한 활동",http://www.gukjenews.com/news/articleView.html?idxno=2095342
1080,2020.10.23.,'보이스 피싱' 피해 해마다 2000억원씩 증가,http://www.newsian.co.kr/news/articleView.html?idxno=44094
1081,2020.10.23.,"광주·전남 보이스피싱 피해액 129억…""예방·추적에 힘써야""",http://www.newsis.com/view/?id=NISX20201023_0001208761&cID=10809&pID=10800
1082,2020.10.23.,"천안동남署, 보이스피싱 피해 예방을 위한 다양한 활동",http://www.gukjenews.com/news/articleView.html?idxno=2095342
1083,2020.10.23.,"박완주 “보이스피싱, 4년간 피해액 1조7440억원..40·50대 많이 당해”",http://www.breaknews.com/762722
1084,2020.11.25.,"DGB대구은행 권다윤 행원, 보이스피싱 예방 대구북부경찰서 표창장",http://www.gukjenews.com/news/articleView.html?idxno=2115253
1085,2020.10.23.,동영상 유포 협박 ‘몸캠피싱’ 피해자 증가…보안 전문가와 해결해야,https://www.news1.kr/articles/?4095645
1086,2020.10.26.,보이스피싱 등 '주민등록번호 유출' 피해자 고통 키우는 변경처리 기한 줄어든다 [시선톡],http://www.sisunnews.co.kr/news/articleView.html?idxno=132467
1087,2020.11.25.,"몸캠피싱 구원 ‘디포렌식코리아’, 디컴파일 서비스로 동영상유포협박 및 피씽 해결 나서",http://www.kjdaily.com/read.php3?aid=1606262400531100203
