"행정구역별(시군구)","가구주의 연령",2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","가구주의 연령",일반가구,가구원수 1명,가구원수 2명,가구원수 3명,가구원수 4명,가구원수 5명,가구원수 6명,가구원수 7명 이상,평균 가구원수
"서구","합계",203296,71702,52384,38778,31816,7076,1234,306,2.3
"유성구","합계",154100,59212,35416,28509,24690,5244,855,174,2.3
"대덕구","합계",73457,24122,20843,14314,10835,2713,516,114,2.3
"읍부","합계",72478,19446,20064,16129,13532,2773,407,127,2.5
"면부","합계",14358,5056,5404,2287,1190,310,84,27,2.1
"동부","합계",357251,98346,98123,81323,64767,12364,1907,421,2.4
"중구","합계",86488,24362,24913,19274,14322,2996,510,111,2.4
"남구","합계",130469,40202,35601,28605,21644,3729,554,134,2.4
"동구","합계",61081,16857,17054,13224,11187,2273,386,100,2.5
"북구","합계",79213,16925,20555,20220,17614,3366,457,76,2.6
"울주군","합계",86836,24502,25468,18416,14722,3083,491,154,2.4
"읍부","합계",21684,10042,4952,3235,2480,771,157,47,2.1
"면부","합계",24472,11884,7092,3062,1613,551,191,79,1.9
"동부","합계",92950,21651,21160,22010,22322,5006,681,120,2.7
"세종시","합계",139106,43577,33204,28307,26415,6328,1029,246,2.4
"경기도","합계",5098431,1406010,1350139,1119823,951370,218173,42094,10822,2.5
"읍부","합계",556629,153716,157268,116116,96592,25825,5502,1610,2.5
"면부","합계",306135,104937,103012,51644,31709,10619,3088,1126,2.2
"동부","합계",4235667,1147357,1089859,952063,823069,181729,33504,8086,2.5
"수원시","합계",466089,146572,109552,98498,88896,18690,3160,721,2.4
"장안구","합계",104418,30264,25258,22736,20846,4365,769,180,2.5
"권선구","합계",143231,41517,35785,31109,27269,6185,1123,243,2.5
"팔달구","합계",76086,30497,19167,13362,10080,2400,461,119,2.2
"영통구","합계",142354,44294,29342,31291,30701,5740,807,179,2.5
"성남시","합계",369585,115433,94285,78898,64060,13608,2657,644,2.4
"수정구","합계",104775,40264,27172,19113,14042,3342,689,153,2.2
"중원구","합계",89721,31112,24170,17545,12900,3189,653,152,2.3
"분당구","합계",175089,44057,42943,42240,37118,7077,1315,339,2.6
"의정부시","합계",178067,50008,49647,39064,30604,7091,1367,286,2.4
"안양시","합계",203441,48533,54090,48596,41673,8602,1554,393,2.6
"만안구","합계",92486,24935,25947,20545,16331,3784,731,213,2.5
"동안구","합계",110955,23598,28143,28051,25342,4818,823,180,2.7
"부천시","합계",315696,85105,85374,72394,57777,12255,2244,547,2.5
"광명시","합계",111383,26496,29884,26131,22991,4811,867,203,2.6
"평택시","합계",213185,69593,56096,42036,34763,8637,1646,414,2.4
"동두천시","합계",37936,12035,11718,7216,5108,1441,338,80,2.3
"안산시","합계",260598,81948,65548,54649,45519,10453,1978,503,2.4
"상록구","합계",139191,44299,34999,28813,24082,5584,1101,313,2.4
"단원구","합계",121407,37649,30549,25836,21437,4869,877,190,2.4
"고양시","합계",398864,100409,107988,94485,75807,16221,3183,771,2.5
"덕양구","합계",180981,47998,50979,41308,32051,6970,1336,339,2.5
"일산동구","합계",112376,31264,29506,25461,20579,4448,912,206,2.5
"일산서구","합계",105507,21147,27503,27716,23177,4803,935,226,2.7
"과천시","합계",20504,3744,5201,5319,4903,1070,204,63,2.8
"구리시","합계",73253,18155,19457,17066,14688,3150,604,133,2.6
"남양주시","합계",252977,53418,69970,59714,53105,13186,2826,758,2.7
"오산시","합계",91909,29692,22216,18125,16885,4100,712,179,2.4
"시흥시","합계",192833,55926,48281,41525,37106,8314,1364,317,2.5
"군포시","합계",103186,26017,27826,23730,20324,4359,749,181,2.5
"의왕시","합계",59444,12877,16606,14409,12230,2668,538,116,2.6
"하남시","합계",112462,33759,29143,23762,19969,4729,884,216,2.4
"용인시","합계",386929,90156,99859,91319,82606,18304,3684,1001,2.6
"처인구","합계",100342,30031,27323,20752,16679,4356,896,305,2.4
"기흥구","합계",157399,35417,40417,37227,34676,7764,1522,376,2.7
"수지구","합계",129188,24708,32119,33340,31251,6184,1266,320,2.7
"파주시","합계",170924,43803,47597,37580,31693,8110,1712,429,2.5
"이천시","합계",83415,24332,23262,16726,14062,3908,840,285,2.4
"안성시","합계",77368,26020,22336,14180,10901,3022,691,218,2.3
"김포시","합계",171854,41284,46057,39980,34516,8034,1580,403,2.6
"화성시","합계",321871,91164,75800,68770,67803,15249,2492,593,2.5
"광주시","합계",143039,34577,42500,32477,25153,6554,1359,419,2.5
"양주시","합계",86650,22433,25433,18498,15061,4140,832,253,2.5
"포천시","합계",59525,19088,18924,11097,7400,2258,573,185,2.3
"여주시","합계",44234,13288,14320,8284,5745,1885,517,195,2.3
"연천군","합계",18014,6200,6027,2956,1927,652,197,55,2.2
"가평군","합계",25652,8996,8588,4204,2668,874,231,91,2.2
"양평군","합계",47544,14949,16554,8135,5427,1798,511,170,2.3
"읍부","합계",108028,36324,35502,19102,12357,3582,875,286,2.2
"면부","합계",158561,57712,56179,24791,13980,4319,1162,418,2.1
"동부","합계",394450,137335,115074,73611,52736,12768,2372,554,2.2
"춘천시","합계",118030,39825,33634,22491,16746,4261,859,214,2.3
"원주시","합계",150242,51940,42373,28574,21127,5083,932,213,2.3
"강릉시","합계",98032,37635,29649,16499,10810,2709,561,169,2.1
"동해시","합계",37427,11497,12536,7182,4746,1188,226,52,2.3
"태백시","합계",18586,6420,6523,3039,1963,500,110,31,2.1
"속초시","합계",35551,12122,11537,6593,4074,979,192,54,2.2
"삼척시","합계",30764,12516,9737,4783,2771,770,141,46,2
"홍천군","합계",29207,9875,10296,4839,3018,862,236,81,2.2
"횡성군","합계",19524,6383,7437,3065,1781,618,170,70,2.2
"영월군","합계",17069,6505,6128,2522,1413,366,98,37,2
"평창군","합계",18305,6793,6472,2873,1487,517,118,45,2.1
"정선군","합계",16275,6186,5746,2529,1275,396,105,38,2
"철원군","합계",16968,4799,5705,3316,2194,698,199,57,2.4
"화천군","합계",9899,3381,3286,1692,1072,345,93,30,2.2
"양구군","합계",8521,2531,2893,1584,1062,340,84,27,2.3
"인제군","합계",12592,4056,4193,2255,1500,441,115,32,2.3
"고성군","합계",11723,4413,4170,1786,976,273,80,25,2.1
"양양군","합계",12324,4494,4440,1882,1058,323,90,37,2.1
"읍부","합계",142186,47868,40834,26060,20416,5632,1071,305,2.3
"면부","합계",148276,56462,53533,21740,11535,3634,979,393,2
"동부","합계",388460,131878,104473,74547,59378,14877,2644,663,2.3
"충주시","합계",93082,33557,28496,16470,11058,2737,594,170,2.2
"제천시","합계",59680,21705,19365,9878,6557,1716,362,97,2.1
"청주시","합계",348328,116872,91287,67702,55437,13974,2420,636,2.3
"상당구","합계",72112,18899,20943,15669,12519,3332,589,161,2.5
"서원구","합계",84613,30535,22069,15746,12455,3063,575,170,2.3
"흥덕구","합계",110912,39230,28055,21037,17374,4323,722,171,2.3
