"도봉구","여자인구수 (명)",166637,3772,5283,5682,6736,10112,11190,9372,10648,10896,13601,15028,14831,15181,10832,8287,6698,4640,2509,977,235,127
"노원구","총인구수 (명)",523037,13503,19679,24274,28961,37606,35576,30226,34514,38408,47832,46711,41117,39210,28594,21234,16302,10937,5557,2012,496,288
"노원구","남자인구수 (명)",252383,6913,10133,12630,14994,19131,18419,15159,17083,18344,22692,22775,19824,18236,13318,9452,6774,4096,1690,521,114,85
"노원구","여자인구수 (명)",270654,6590,9546,11644,13967,18475,17157,15067,17431,20064,25140,23936,21293,20974,15276,11782,9528,6841,3867,1491,382,203
"은평구","총인구수 (명)",479835,12839,16865,18077,20599,29682,37376,32478,36024,35746,40882,39783,37491,36983,27455,22013,17108,11055,4842,1658,454,425
"은평구","남자인구수 (명)",230279,6536,8674,9237,10519,14409,17875,15838,18069,17772,20074,19374,17830,17314,12415,9760,7504,4647,1753,465,132,82
"은평구","여자인구수 (명)",249556,6303,8191,8840,10080,15273,19501,16640,17955,17974,20808,20409,19661,19669,15040,12253,9604,6408,3089,1193,322,343
"서대문구","총인구수 (명)",312173,9060,11115,10915,12707,22638,27718,21991,23118,22264,25223,25575,23792,22301,16257,13272,11032,7692,3554,1283,368,298
"서대문구","남자인구수 (명)",149360,4735,5532,5530,6340,10271,13802,10910,11473,11008,12448,12469,11510,10571,7529,5689,4669,3073,1256,372,92,81
"서대문구","여자인구수 (명)",162813,4325,5583,5385,6367,12367,13916,11081,11645,11256,12775,13106,12282,11730,8728,7583,6363,4619,2298,911,276,217
"마포구","총인구수 (명)",371890,11503,13396,13770,14602,25662,36242,32085,32401,29269,31726,28739,25516,22977,16582,13271,11038,7419,3677,1313,356,346
"마포구","남자인구수 (명)",175150,5939,6704,7003,7363,11348,16559,14752,15751,14090,15559,14169,12484,10797,7541,5571,4672,2997,1292,373,104,82
"마포구","여자인구수 (명)",196740,5564,6692,6767,7239,14314,19683,17333,16650,15179,16167,14570,13032,12180,9041,7700,6366,4422,2385,940,252,264
"양천구","총인구수 (명)",454251,11923,19629,24815,26057,28947,30827,26399,31421,36236,42757,40430,36065,33204,24347,17183,11410,7127,3594,1341,352,187
"양천구","남자인구수 (명)",222824,6165,10070,12922,13610,15020,15406,13156,15313,17117,20715,20141,17880,15887,11697,8320,5154,2731,1046,350,75,49
"양천구","여자인구수 (명)",231427,5758,9559,11893,12447,13927,15421,13243,16108,19119,22042,20289,18185,17317,12650,8863,6256,4396,2548,991,277,138
"강서구","총인구수 (명)",580185,17481,22079,21202,23492,34061,52930,49668,49394,45143,45745,43004,43192,44061,32279,23418,15497,9788,4990,2029,493,239
"강서구","남자인구수 (명)",280034,8979,11243,10913,11934,16100,24210,24823,25451,22670,22872,20964,20300,20524,14885,11140,7047,3770,1562,461,111,75
"강서구","여자인구수 (명)",300151,8502,10836,10289,11558,17961,28720,24845,23943,22473,22873,22040,22892,23537,17394,12278,8450,6018,3428,1568,382,164
"구로구","총인구수 (명)",404408,12869,15330,14686,15503,23351,32064,30724,32423,30981,32222,31791,31539,31724,24259,18721,13083,7907,3536,1203,313,179
"구로구","남자인구수 (명)",199673,6650,7756,7496,8098,11430,15791,15433,16782,15882,16528,15749,15578,15081,11313,9000,6102,3351,1234,300,79,40
"구로구","여자인구수 (명)",204735,6219,7574,7190,7405,11921,16273,15291,15641,15099,15694,16042,15961,16643,12946,9721,6981,4556,2302,903,234,139
"금천구","총인구수 (명)",231733,5775,6773,6685,7984,14365,22762,18576,16905,15298,17605,19667,20625,19399,13720,10435,7624,4431,2048,691,188,177
"금천구","남자인구수 (명)",117226,2976,3446,3382,3997,6953,11762,10363,9301,8174,9095,9847,10366,9695,6573,4940,3495,1872,701,174,56,58
"금천구","여자인구수 (명)",114507,2799,3327,3303,3987,7412,11000,8213,7604,7124,8510,9820,10259,9704,7147,5495,4129,2559,1347,517,132,119
